"id","id_persil","id_jenis_monitoring","id_file","id_file_pendukung","hasil","tanggal"
30,15832,4,NULL,78265,"<p>1. Tanah Desa berizin dengan Izin Gubernur Nomor 48/IZ/2011 tanggal 22 Juni 2011 Tentang Pemberian Izin Kepada Pemerintah Desa Pengasih, Kecamatan Pengasih, Kabupaten Kulon Progo Untuk Melepaskan Tanah Kas Desa Kepada Pemerintah Kabupaten Kulon Progo Untuk Pembangunan Jalan Trase Sentolo-Sermo.&nbsp;</p>

<p>2. Luas pemanfaatan 156 m&sup2; dari luas keseluruhan 1.290 m&sup2; di&nbsp;SHP 042/ Desa Pengasih.&nbsp;</p>

<p>3. Telah sesuai dengan Izin Gubernur yang diterbitkan dan Pemerintah Kalurahan telah mendapatkan tanah pengganti.&nbsp;</p>
","2020-09-18"
31,15737,4,NULL,78266,"<p>1. Tanah Desa berizin dengan Izin Gubernur Nomor&nbsp;56/IZ/2014 tanggal 4 November 2014 tentang Pemberian Izin Kepada Pemerintah Desa Pengasih, Kecamatan Pengasih, kabupaten Kulon Progo Menyewakan Tanah Kas Desa Kepada Pemerintah Kalurahan Kulon Progo Untuk Pembangunan Taman Budaya.&nbsp;</p>

<p>2. Luas Pemanfaatan&nbsp;42.500&nbsp;m&sup2; dari luas keseluruhan&nbsp;78.914m&sup2; di&nbsp;SHP 110/Desa Pengasih yang berada di Padukuhan Pengasih.&nbsp;</p>

<p>3. Telah sesuai dengan Izin Gubernur yang terbit dan telah ditindaklanjuti dengan Perjanjian Sewa Menyewa Nomor 143/ 03/ XI/ 2014, tanggal 17 November 2014.&nbsp;Jangka waktu sewa 20 Tahun dengan besarnya sewa Rp 1.500 per m&sup2; .</p>
","2020-09-18"
32,15737,4,NULL,78267,"<p>1. Tanah Desa berizin dengan Izin Gubernur Nomor 58/IZ/2014&nbsp;tanggal 4 November 2014 Tentang Pemberian Izin Kepada Pemerintah Desa Pengasih, Kecamatan Pengasih, Kabupaten Kulon Progo Menyewakan Tanah Kas Desa Kepada Pemerintah Kabupaten Kulon Progo untuk pembangunan Gedung Balai Penyuluhan Pertanian Perikanan Kehutanan (BP3K) dan Lahan Percontohan.&nbsp;</p>

<p>2. Luas pemanfaatan 6.222 m&sup2; dari luas keseluruhan 78.914 m&sup2; di&nbsp; SHP 110/ Desa Pengasih.&nbsp;</p>

<p>3. Telah sesuai dengan Izin Gubernur yang diterbitkan.</p>
","2020-09-18"
33,15764,4,78268,78269,"<p>1. Tanah Desa berizin dengan Izin Gubernur Nomor 20/IZ/2018&nbsp;tanggal 6 Februari 2018 Tentang Pemberian Izin Kepada Pemerintah Desa Pengasih, Kecamatan Pengasih, Kabupaten Kulon Progo Untuk Melepaskan Tanah Kas Desa Pengasih&nbsp;Kepada Dewan Pimpinan Cabang Partai Demokrasi Indonesia Perjuangan Kabupaten Kulon Progo Untuk Pembangunan Kantor Pimpinan Cabang Partai Demokrai Indonesia Perjuangan Kabpaten Kulon Progo.&nbsp;</p>

<p>2. Luas pemanfaatan 945 m&sup2; di&nbsp;SHP 79/ Desa Pengasih yang berada di Padukuhan Dayakan.&nbsp;</p>

<p>3. Telah sesuai dengan Izin Gubernur yang diterbitkan dan telah ditindak lanjuti dengan Perjanjian Sewa Menyewa Nomor 00/ um/ III/ 2018&nbsp;tanggal 19 Maret 2018. Jangka waktu&nbsp;sewa 20 Tahun dengan besarnya sewa Rp 2.220.000 per tahun.&nbsp;</p>
","2020-09-18"
34,65444,4,NULL,78270,"<p>1. Tanah Desa berizin dengan Izin Gubernur Nomor 25/IZ/2011 tanggal 5 Mei 2011&nbsp;Tentang Pemberian Izin Kepada Pemerintah Desa Sendangadi, Kecamatan Mlati, Kabupaten Sleman Untuk Melepaskan Tanah Kas Desa Kepada Dinas Pekerjaan Umum, Perumahan, dan Energi Sumber Daya Mineral (DPUP-ESDM) Provinsi Daerah Istimewa Yogyakarta untuk Pembangunan Jalan dan Fly Over Jombor.&nbsp;</p>

<p>2. Luas pemanfaatan 20 m&sup2; dari luas keseluruhan 247 m&sup2; di&nbsp; Persil 127 SL/II yang berada di Padukahan Mraen.</p>

<p>3.&nbsp;Pengganti Tanah Kas Desa belum ada, dana untuk pengganti tanah sudah ada.&nbsp;</p>
","2020-10-12"
35,65433,4,NULL,78271,"<p>1. Tanah Desa berizin dengan Izin Gubernur Nomor 92/IZ/2012 tanggal 29 Oktober 2012 Tentang Pemberian Izin Kepada Pemerintah Desa Sendangadi, Kecamatan Mlati,&nbsp;Kabupaten Sleman Untuk Menyewakan Tanah Kas Desa dan Bangunannya Kepada PT Cemara Tujuh Ombara Untuk Pembangunan Pondok Wisata (Hotel) dan Restaurant, Tour dan Travel, dan Jasa Transportasi serta Kegiatan Komersil Lainnya.&nbsp;</p>

<p>2. Luas pemanfaatan 1951 m&sup2; pada persil&nbsp;41 S/IV yang berada di Padukuhan Nganti.&nbsp;</p>

<p>3. Telah sesuai dengan Izin Gubernur yang diterbitkan dan telah ditindaklanjuti dengan Perjanjian Sewa Menyewa Nomor 143/022/XI/2012 tanggal 9 November 2012 selama 20 tahun, dengan biaya sewa sebesar Rp 30.000.000/tahun, pembayaran setiap 18 Juni, status tanah sudah bersertifikat.&nbsp;</p>
","2020-10-12"
36,65432,4,NULL,78272,"<p>1. Tanah Desa berizin dengan Izin Gubernur Nomor 92/IZ/2012 tanggal 29 Oktober 2012 Tentang Pemberian Izin Kepada Pemerintah Desa Sendangadi, Kecamatan Mlati, Kabupaten Sleman Untuk Menyewakan Tanah Kas Desa dan Bangunannya Kepada PT Cemara Tujuh Ombara Untuk Pembangunan Pondok Wisata (Hotel) dan Restaurant, Tour dan Travel, dan Jasa Transportasi serta Kegiatan Komersil Lainnya.&nbsp;</p>

<p>2. Luas pemanfaatan 6.797 m&sup2; pada persil 42 S/II yang berada di Padukuhan Nganti.&nbsp;</p>

<p>3. Telah sesuai dengan Izin Gubernur yang diterbitkan dan telah ditindaklanjuti dengan Perjanjian Sewa Menyewa Nomor 143/022/XI/2012 tanggal 9 November 2012 selama 20 tahun, dengan biaya sewa sebesar Rp 30.000.000/tahun, pembayaran setiap 18 Juni, status tanah sudah bersertifikat.&nbsp;</p>
","2020-10-12"
37,65434,4,NULL,78273,"<p>1. Tanah Desa berizin dengan Izin Gubernur Nomor 92/IZ/2012 tanggal 29 Oktober 2012 Tentang Pemberian Izin Kepada Pemerintah Desa Sendangadi, Kecamatan Mlati, Kabupaten Sleman Untuk Menyewakan Tanah Kas Desa dan Bangunannya Kepada PT Cemara Tujuh Ombara Untuk Pembangunan Pondok Wisata (Hotel) dan Restaurant, Tour dan Travel, dan Jasa Transportasi serta Kegiatan Komersil Lainnya.&nbsp;</p>

<p>2. Luas pemanfaatan 5.524 m&sup2; pada persil&nbsp;43 S/II yang berada di Padukuhan Nganti.&nbsp;</p>

<p>3. Telah sesuai dengan Izin Gubernur yang diterbitkan dan telah ditindaklanjuti dengan Perjanjian Sewa Menyewa Nomor 143/022/XI/2012 tanggal 9 November 2012 selama 20 tahun, dengan biaya sewa sebesar Rp 30.000.000/tahun, pembayaran setiap 18 Juni, status tanah sudah bersertifikat.&nbsp;</p>
","2020-10-12"
38,65521,4,NULL,78274,"<p>1. Tanah Desa berizin dengan Izin Gubernur Nomor 27/IZ/2017 tanggal 4 Oktober 2017 Tentang Pemberian Izin Kepada Pemerintah Desa Sendangadi, Kecamatan Mlati, Kabupaten Sleman Untuk Menyewakan Tanah Kas Desa Sendangadi Kepada Saudara Ir.Bambang Noto Bandriyanto Untuk Pertanian Kehutanan dalam Bentuk Ruang Terbuka Hijau.&nbsp;</p>

<p>2. Luas pemanfaatan 3.003 m&sup2; pada persil 99 S/III SHP No.99&nbsp;yang berada di Padukuhan Jatirejo.</p>

<p>3. Telah ditindaklanjuti dengan Perjanjian Sewa Menyewa Nomor 46/TD/V/2018 tanggal 2 Mei 2018 selama 20 tahun, dengan biaya sewa sebesar Rp 5,000/m2, pembayaran sewa setiap tanggal 2 Mei, status tanah sudah bersertifika.&nbsp;</p>

<p>4.&nbsp;Terdapat permasalahan batas dengan Kalurahan Sariharjo, KAlurahan Sendangadi mengambil langkah untuk mengajukan revisi batas bidang sesuai peta desa lama yang dimiliki.</p>
","2020-10-12"
39,65523,4,NULL,78275,"<p>1. Tanah Desa berizin dengan Izin Gubernur Nomor 27/IZ/2017 tanggal 4 Oktober 2017 Tentang Pemberian Izin Kepada Pemerintah Desa Sendangadi, Kecamatan Mlati, Kabupaten Sleman Untuk Menyewakan Tanah Kas Desa Sendangadi Kepada Saudara Ir.Bambang Noto Bandriyanto Untuk Pertanian Kehutanan dalam Bentuk Ruang Terbuka Hijau.&nbsp;</p>

<p>2. Luas pemanfaatan 7.906 m&sup2; pada persil 99 S/III SHP No 95 yang berada di Padukuhan Jatirejo.</p>

<p>3. Telah ditindaklanjuti dengan Perjanjian Sewa Menyewa Nomor 46/TD/V/2018 tanggal 2 Mei 2018 selama 20 tahun, dengan biaya sewa sebesar Rp 5,000/m2, pembayaran sewa setiap tanggal 2 Mei, status tanah sudah bersertifikat.&nbsp;</p>

<p>4. Terdapat permasalahan batas dengan Kalurahan Sariharjo, Kalurahan Sendangadi mengambil langkah untuk mengajukan revisi batas bidang sesuai peta desa lama yang dimiliki.</p>
","2020-10-12"
